,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': None, 'name': 'GameSpot'}",Darryn Bonthuys,Street Fighter 6 - Everything We Know About The Capcom Fighting Game,"Mainline entries in the Street Fighter series don't roll out too often, but come 2023, a new challenger arises in the form of Street Fighter 6. Capcom's iconic fighting game franchise is shaping up to not only be a visually impressive and hard-hitting new cha…",https://www.gamespot.com/articles/street-fighter-6-everything-we-know-about-the-capcom-fighting-game/1100-6510023/,https://www.gamespot.com/a/uploads/screen_kubrick/1601/16018044/4076872-streetfighter6%284%29.jpg,2022-12-25T14:00:00Z,"Mainline entries in the Street Fighter series don't roll out too often, but come 2023, a new challenger arises in the form of Street Fighter 6. Capcom's iconic fighting game franchise is shaping up t… [+7277 chars]"
1,"{'id': None, 'name': 'Forbes'}","Shep Hyken, Contributor, 
 Shep Hyken, Contributor
 https://www.forbes.com/sites/shephyken/",Are You As Good As You Think You Are? The Big Disconnect Between Brands And Their Customers,"Even though we may think we’re good at responding to customers’ questions, problems and complaints, overall, our customers don’t agree.",https://www.forbes.com/sites/shephyken/2022/12/25/are-you-as-good-as-you-think-you-are-the-big-disconnect-between-brands-and-their-customers/,https://imageio.forbes.com/specials-images/imageserve/63a74ef1036c0fcc2c1d7c6d/0x0.jpg?format=jpg&width=1200,2022-12-25T14:00:00Z,"Even though we may think were good at responding to customers questions, problems and complaints, ... [+] overall, our customers dont agree. 
getty
Do you think your company provides good customer … [+4385 chars]"
2,"{'id': None, 'name': 'Seeking Alpha'}",Retired Investor,EEMS Vs. FEMS: Comparing Small-Cap Emerging Market Equity ETFs,EEMS and FEMS and their respective index are reviewed to see how the underlying index can drive the results. Click to read my analysis and which fund is best.,https://seekingalpha.com/article/4565551-eems-vs-fems-comparing-small-cap-emerging-market-equity-etfs,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/868638158/image_868638158.jpg?io=getty-c-w750,2022-12-25T14:00:00Z,"William_Potter
(This article was co-produced with Hoya Capital Real Estate)
 Introduction
 Emerging Markets stocks are considered riskier than US or other Developed-Market stocks. Small-Caps are c… [+10916 chars]"
3,"{'id': 'business-insider', 'name': 'Business Insider'}","zrosenberg@insider.com (Zoe Rosenberg,Robert Davis,Dan Latu,Kelsey Neubauer,Alcynna Lloyd,James Rodriguez,Alex Nicoll,Daniel Geiger,Alexandra York,Jennifer Ortakales Dawkins)","29 must-read books to be successful in real estate at a young age, according to industry visionaries under 35 years old","Rising stars in the real-estate industry draw inspiration from tales of self-exploration, interpersonal communication, and even Wall Street hijinks.",https://www.businessinsider.com/real-estate-books-advance-career-2022-12,https://i.insider.com/63a5edd7f0d34c0018bc4173?width=1200&format=jpeg,2022-12-25T14:00:00Z,"Careers in real estate vary from brokers and lenders to investors, developers, and architects. Equally as varied are the types of people that take those jobs.
One thing that shapes these people is w… [+1064 chars]"
4,"{'id': None, 'name': 'Mirror Online'}",mirrornews@mirror.co.uk (Josh O'Brien),Jose Mourinho’s sarcastic dig at Premier League amid festive fixture chaos,A LOOK BACK: The Premier League festive calendar is set to be without disruption for the first time in a few years after Jose Mourinho aired his fury in 2020 and coronavirus caused havoc again in 2021,https://www.mirror.co.uk/sport/football/news/jose-mourinho-premier-league-dig-28772539,https://i2-prod.mirror.co.uk/incoming/article28772833.ece/ALTERNATES/s1200/0_GettyImages-1327649338.jpg,2022-12-25T14:00:00Z,"Jose Mourinho has never been particularly shy when it comes to bemoaning decisions, whether they be ones made by referees or those at boardroom level. 
 His Tottenham tenure was no different, but on… [+3571 chars]"
5,"{'id': None, 'name': 'TheGrio'}",Associated Press,Actor Orlando Brown pleads not guilty to assault charges,"NEW YORK (AP) — Former child star Orlando Brown has pleaded not guilty to misdemeanor assault charges stemming from an
The post Actor Orlando Brown pleads not guilty to assault charges appeared first on TheGrio.",http://thegrio.com/2022/12/25/orlando-brown-not-guilty-plea/,https://thegrio.com/wp-content/uploads/2022/12/1000-57.webp,2022-12-25T13:53:23Z,"Troubles continue to mount for Orlando Brown
NEW YORK (AP) Former child star Orlando Brown has pleaded not guilty to misdemeanor assault charges stemming from an alleged altercation in Lima, Ohio.
… [+1333 chars]"
6,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",PTI,"Transformative reforms in last 8 years brought transparency, accountability: Jitendra Singh","In 2017, a dedicated online portal (https://probity-dopt.nic.in) was made functional for obtaining the data from all the ministries/departments/autonomous organisations/public sector banks in respect of number of cases pending for sanction for prosecution, nu…",https://economictimes.indiatimes.com/news/india/transformative-reforms-in-last-8-years-brought-transparency-accountability-jitendra-singh/articleshow/96498790.cms,"https://img.etimg.com/thumb/msid-96498812,width-1070,height-580,imgsize-53546,overlay-economictimes/photo.jpg",2022-12-25T13:51:51Z,"Union Minister of State for Personnel Jitendra Singh on Sunday said the transformative reforms undertaken in the last eight years has brought increased transparency, accountability and technology-dri… [+2969 chars]"
7,"{'id': None, 'name': 'Business Standard'}",AP,Surge in Covid-19 cases in China raises odds of new coronavirus mutant,"Could the COVID-19 surge in China unleash a new coronavirus mutant on the world?
Scientists don't know but worry that might happen. It could be similar to omicron variants circulating there now. It could be a combination of strains. Or something entirely diff…",https://www.business-standard.com/article/current-affairs/surge-in-covid-19-cases-in-china-raises-odds-of-new-coronavirus-mutant-122122500591_1.html,https://bsmedia.business-standard.com/_media/bs/img/article/2022-12/19/full/1671420002-6694.jpg,2022-12-25T13:42:00Z,"Could the COVID-19 surge in China unleash a new coronavirus mutant on the world?
Scientists don't know but worry that might happen. It could be similar to omicron variants circulating there now. It … [+3776 chars]"
8,"{'id': 'politico', 'name': 'Politico'}",,China’s foreign minister signals deeper ties with Russia,Wang Yi said China would “deepen strategic mutual trust and mutually beneficial cooperation” with Russia.,https://www.politico.com/news/2022/12/25/china-russia-ties-foreign-00075585,https://static.politico.com/78/af/fa3d8e854ea791596df3e3fdf3b1/china-diplomacy-97410.jpg,2022-12-25T13:40:31Z,"Wang said that China would deepen strategic mutual trust and mutually beneficial cooperation with Russia. Warships from the two countries held joint naval drills in the East China Sea last week.
Wit… [+1447 chars]"
9,"{'id': None, 'name': 'Askubuntu.com'}",Marietto,Can bumblebee offers a framebuffer driver / display server that can works together with my nvidia GPU configured as PRIME RENDER OFFLOAD?,"Hello Ubuntu users and developers,
I have two monitors right now. The first one is new,AOC 32 inches and I use it for FreeBSD. The second screen is 25 years old,it’s a SAMSUNG SYNCMASTER that I don’t want to use because it's not working well. I have 3 GPUS on…",https://askubuntu.com/questions/1447224/can-bumblebee-offers-a-framebuffer-driver-display-server-that-can-works-togeth,https://cdn.sstatic.net/Sites/askubuntu/Img/apple-touch-icon@2.png?v=c492c9229955,2022-12-25T13:38:16Z,"Hello Ubuntu users and developers,
I have two monitors right now. The first one is new,AOC 32 inches and I use it for FreeBSD. The second screen is 25 years old,its a SAMSUNG SYNCMASTER that I dont … [+4187 chars]"
